,index,nomptar,CodeINSEE,coord
326,99,Rue de la Pompe (Avenue Georges Mandel),75116,"48.8642533436, 2.2779167587"
327,270,Rue des Boulets,75111,"48.8522226724, 2.38911564759"
328,766,Rue du Bac,75107,"48.855891297, 2.32570499057"
329,568,Rueil-Malmaison,92063,"48.8872220198, 2.1706232016"
330,28,Réaumur-Sébastopol,75102,"48.8662803178, 2.3524847935"
331,86,République,75111,"48.8676714782, 2.36332911744"
332,385,Saint-Ambroise,75111,"48.8616473835, 2.37314713744"
333,315,Saint-Augustin,75108,"48.8743867195, 2.32072782863"
334,685,Saint-Denis - Porte de Paris,93066,"48.9299266245, 2.35618614586"
335,687,Saint-Denis-Université,93066,"48.9461108318, 2.36204518966"
336,559,Saint-Fargeau,75120,"48.8717447834, 2.40416253824"
337,549,Saint-François-Xavier,75107,"48.850982519, 2.31442986127"
338,622,Saint-Georges,75109,"48.8785939145, 2.33782696558"
339,249,Saint-Germain des Prés,75106,"48.853447197, 2.33304632271"
340,390,Saint-Germain-en-Laye,78551,"48.8983085676, 2.09511210244"
341,154,Saint-Jacques,75114,"48.832991651, 2.33668289331"
342,23,Saint-Lazare,75108,"48.8756814657, 2.32559158149"
343,107,Saint-Mandé,94007,"48.8462382158, 2.41899982478"
344,261,Saint-Marcel,75113,"48.8394422381, 2.36164021079"
345,576,Saint-Maur Créteil,94068,"48.8064195682, 2.47204504761"
346,255,Saint-Michel,75105,"48.8535998671, 2.34399623776"
347,592,Saint-Michel Notre-Dame,75105,"48.8539502053, 2.34655673141"
348,103,Saint-Paul (Le Marais),75104,"48.8551344775, 2.36133433573"
349,311,Saint-Philippe du Roule,75108,"48.872470625, 2.3107690979"
350,139,Saint-Placide,75106,"48.8470117994, 2.32705510802"
351,715,Saint-Rémy-lès-Chevreuse,78575,"48.7028686434, 2.07060021119"
352,254,Saint-Sulpice,75106,"48.8511463143, 2.33096285303"
353,93,Saint-Sébastien-Froissart,75103,"48.8609749564, 2.36726229169"
354,567,Sartrouville,78586,"48.9375121425, 2.15731104369"
355,673,Sceaux,92071,"48.7812872777, 2.29760964767"
356,131,Sentier,75102,"48.8673503407, 2.34756723208"
357,662,Sevran Livry,93071,"48.9362622083, 2.53472278012"
358,661,Sevran-Beaudottes,93071,"48.9477376104, 2.52404227481"
359,39,Simplon,75118,"48.894779515, 2.34664584169"
360,769,Solférino,75107,"48.8585333187, 2.32308924545"
361,242,Stalingrad,75119,"48.8840719456, 2.36887005944"
362,135,Strasbourg-Saint-Denis,75102,"48.8696323244, 2.35450205976"
363,396,Sucy Bonneuil,94071,"48.7710514922, 2.50751126501"
364,175,Sully-Morland,75104,"48.850793554, 2.36123699038"
365,522,Sèvres-Babylone,75107,"48.8509392477, 2.32611465149"
